Product_ID,Product_Name,Brand,Category,Sub_Category,Cost_Price,Selling_Price
PROD0001,Samsung Android Phones Model 1,Samsung,Mobiles,Android Phones,44695,57789.28
PROD0002,Samsung Android Phones Model 2,Samsung,Mobiles,Android Phones,11259,12904.24
PROD0003,Samsung Android Phones Model 3,Samsung,Mobiles,Android Phones,9210,11939.95
PROD0004,Samsung Android Phones Model 4,Samsung,Mobiles,Android Phones,30943,36354.99
PROD0005,Samsung Android Phones Model 5,Samsung,Mobiles,Android Phones,20831,26982.37
PROD0006,Samsung Android Phones Model 6,Samsung,Mobiles,Android Phones,35834,46011.89
PROD0007,Samsung Android Phones Model 7,Samsung,Mobiles,Android Phones,24664,28224.04
PROD0008,Samsung Android Phones Model 8,Samsung,Mobiles,Android Phones,37430,46556.44
PROD0009,Samsung Android Phones Model 9,Samsung,Mobiles,Android Phones,24659,28519.69
PROD0010,Samsung Android Phones Model 10,Samsung,Mobiles,Android Phones,14084,15870.47
PROD0011,OnePlus Android Phones Model 1,OnePlus,Mobiles,Android Phones,9625,11759.72
PROD0012,OnePlus Android Phones Model 2,OnePlus,Mobiles,Android Phones,18452,21533.35
PROD0013,OnePlus Android Phones Model 3,OnePlus,Mobiles,Android Phones,11715,14480.86
PROD0014,OnePlus Android Phones Model 4,OnePlus,Mobiles,Android Phones,15630,18248.67
PROD0015,OnePlus Android Phones Model 5,OnePlus,Mobiles,Android Phones,36220,44902.03
PROD0016,OnePlus Android Phones Model 6,OnePlus,Mobiles,Android Phones,36963,41672.71
PROD0017,OnePlus Android Phones Model 7,OnePlus,Mobiles,Android Phones,20983,25081.01
PROD0018,OnePlus Android Phones Model 8,OnePlus,Mobiles,Android Phones,36815,43191.66
PROD0019,OnePlus Android Phones Model 9,OnePlus,Mobiles,Android Phones,40242,45500.21
PROD0020,OnePlus Android Phones Model 10,OnePlus,Mobiles,Android Phones,36042,40449.78
PROD0021,Xiaomi Android Phones Model 1,Xiaomi,Mobiles,Android Phones,19367,22956.5
PROD0022,Xiaomi Android Phones Model 2,Xiaomi,Mobiles,Android Phones,29995,35338.31
PROD0023,Xiaomi Android Phones Model 3,Xiaomi,Mobiles,Android Phones,21248,26324.86
PROD0024,Xiaomi Android Phones Model 4,Xiaomi,Mobiles,Android Phones,13260,15300.41
PROD0025,Xiaomi Android Phones Model 5,Xiaomi,Mobiles,Android Phones,14114,16951.19
PROD0026,Xiaomi Android Phones Model 6,Xiaomi,Mobiles,Android Phones,20220,26264.0
PROD0027,Xiaomi Android Phones Model 7,Xiaomi,Mobiles,Android Phones,43781,49256.68
PROD0028,Xiaomi Android Phones Model 8,Xiaomi,Mobiles,Android Phones,30703,36040.73
PROD0029,Xiaomi Android Phones Model 9,Xiaomi,Mobiles,Android Phones,12539,15153.65
PROD0030,Xiaomi Android Phones Model 10,Xiaomi,Mobiles,Android Phones,25426,31584.54
PROD0031,Nothing Android Phones Model 1,Nothing,Mobiles,Android Phones,14305,17021.61
PROD0032,Nothing Android Phones Model 2,Nothing,Mobiles,Android Phones,37434,46063.68
PROD0033,Nothing Android Phones Model 3,Nothing,Mobiles,Android Phones,31002,39026.7
PROD0034,Nothing Android Phones Model 4,Nothing,Mobiles,Android Phones,25574,31195.27
PROD0035,Nothing Android Phones Model 5,Nothing,Mobiles,Android Phones,44287,50507.11
PROD0036,Nothing Android Phones Model 6,Nothing,Mobiles,Android Phones,20316,24997.65
