Order_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Quantity,Discount_Percentage,Payment_Mode,Sales_Channel,Order_Status
ORD000001,2024-10-16,CUST08370,PROD0109,EMP019,1,0,Debit Card,Retail Store,Delivered
ORD000002,2023-04-15,CUST04756,PROD0065,EMP019,1,15,UPI,Retail Store,Delivered
ORD000003,2024-09-08,CUST08435,PROD0217,EMP002,1,5,Debit Card,Online,Delivered
ORD000004,2024-04-04,CUST00302,PROD0193,EMP013,5,10,Debit Card,Retail Store,Delivered
ORD000005,2024-12-15,CUST03966,PROD0031,EMP002,2,10,UPI,Retail Store,Delivered
ORD000006,2023-04-15,CUST07093,PROD0159,EMP014,1,15,UPI,Online,Delivered
ORD000007,2023-02-14,CUST04803,PROD0012,EMP002,2,0,EMI,Retail Store,Delivered
ORD000008,2024-10-05,CUST07937,PROD0116,EMP001,2,5,Debit Card,Retail Store,Delivered
ORD000009,2023-10-24,CUST01293,PROD0161,EMP012,2,10,UPI,Retail Store,Delivered
ORD000010,2023-06-16,CUST00758,PROD0209,EMP018,3,10,UPI,Retail Store,Delivered
ORD000011,2024-10-25,CUST09100,PROD0090,EMP014,1,5,Credit Card,Retail Store,Delivered
ORD000012,2023-10-04,CUST06891,PROD0173,EMP002,5,5,Credit Card,Online,Delivered
ORD000013,2023-08-23,CUST04082,PROD0062,EMP019,1,10,UPI,Retail Store,Delivered
ORD000014,2024-08-03,CUST03400,PROD0094,EMP015,2,5,Credit Card,Retail Store,Delivered
ORD000015,2024-04-14,CUST07568,PROD0098,EMP008,1,10,UPI,Online,Delivered
ORD000016,2024-08-21,CUST06809,PROD0184,EMP015,4,15,UPI,Online,Delivered
ORD000017,2024-05-20,CUST09514,PROD0174,EMP014,1,0,Cash,Retail Store,Delivered
ORD000018,2024-11-27,CUST08648,PROD0114,EMP002,2,0,UPI,Retail Store,Delivered
ORD000019,2023-09-15,CUST05398,PROD0200,EMP010,5,0,Credit Card,Retail Store,Delivered
ORD000020,2023-10-01,CUST09417,PROD0231,EMP010,10,10,UPI,Retail Store,Delivered
ORD000021,2023-09-27,CUST02318,PROD0008,EMP012,1,0,Cash,Retail Store,Delivered
ORD000022,2024-09-15,CUST07731,PROD0055,EMP005,1,0,UPI,Retail Store,Cancelled
ORD000023,2024-06-27,CUST01658,PROD0071,EMP009,1,10,Credit Card,Retail Store,Delivered
ORD000024,2023-11-11,CUST01183,PROD0237,EMP010,4,15,Cash,Online,Delivered
ORD000025,2024-05-12,CUST01344,PROD0058,EMP001,1,0,UPI,Retail Store,Delivered
ORD000026,2023-09-29,CUST02125,PROD0231,EMP003,6,25,EMI,Online,Delivered
ORD000027,2024-12-07,CUST02724,PROD0172,EMP019,2,10,UPI,Retail Store,Delivered
ORD000028,2024-06-13,CUST04152,PROD0260,EMP018,5,10,UPI,Retail Store,Delivered
ORD000029,2024-07-21,CUST07134,PROD0209,EMP001,2,5,UPI,Online,Delivered
ORD000030,2023-03-11,CUST07908,PROD0197,EMP008,1,10,UPI,Retail Store,Delivered
ORD000031,2023-08-08,CUST01977,PROD0268,EMP016,6,15,Debit Card,Online,Delivered
ORD000032,2023-09-06,CUST08588,PROD0169,EMP012,2,15,UPI,Retail Store,Delivered
ORD000033,2024-03-09,CUST03928,PROD0020,EMP020,2,15,Cash,Retail Store,Delivered
ORD000034,2024-10-23,CUST00690,PROD0244,EMP017,3,25,Debit Card,Online,Delivered
ORD000035,2023-07-16,CUST07214,PROD0158,EMP002,1,20,UPI,Retail Store,Delivered
ORD000036,2023-09-13,CUST09748,PROD0004,EMP006,1,15,Debit Card,Online,Delivered
ORD000037,2024-10-29,CUST05489,PROD0016,EMP014,2,5,UPI,Retail Store,Delivered
ORD000038,2024-02-15,CUST02838,PROD0208,EMP002,1,5,UPI,Online,Delivered
ORD000039,2024-04-10,CUST03328,PROD0191,EMP010,3,15,Credit Card,Online,Delivered
